"site","date","pm2.5"
"richmond","13/11/1996",1.7
"earlwood","13/11/1996",NA
"chullora","13/11/1996",NA
"liverpool","13/11/1996",NA
"chullora","14/11/1996",NA
"richmond","14/11/1996",4.4
"earlwood","14/11/1996",NA
"liverpool","14/11/1996",NA
"richmond","15/11/1996",4.9
"earlwood","15/11/1996",NA
"liverpool","15/11/1996",NA
"chullora","15/11/1996",NA
"earlwood","16/11/1996",NA
"liverpool","16/11/1996",NA
"richmond","16/11/1996",7
"chullora","16/11/1996",NA
"richmond","17/11/1996",3.9
"chullora","17/11/1996",NA
"liverpool","17/11/1996",NA
"earlwood","17/11/1996",NA
"earlwood","18/11/1996",NA
"liverpool","18/11/1996",NA
"chullora","18/11/1996",NA
"richmond","18/11/1996",1.6
"richmond","19/11/1996",2.6
"liverpool","19/11/1996",NA
"earlwood","19/11/1996",NA
"chullora","19/11/1996",NA
"liverpool","20/11/1996",NA
"richmond","20/11/1996",4.5
"earlwood","20/11/1996",NA
"chullora","20/11/1996",NA
"liverpool","21/11/1996",NA
"richmond","21/11/1996",3.7
"chullora","21/11/1996",NA
"earlwood","21/11/1996",NA
"richmond","22/11/1996",1.1
"chullora","22/11/1996",NA
"earlwood","22/11/1996",NA
"liverpool","22/11/1996",NA
"chullora","23/11/1996",NA
"earlwood","23/11/1996",NA
"richmond","23/11/1996",1.1
"liverpool","23/11/1996",NA
"chullora","24/11/1996",NA
"liverpool","24/11/1996",NA
"earlwood","24/11/1996",NA
"richmond","24/11/1996",1.3
"earlwood","25/11/1996",NA
"chullora","25/11/1996",NA
"richmond","25/11/1996",2
"liverpool","25/11/1996",NA
"richmond","26/11/1996",3.1
"earlwood","26/11/1996",NA
"chullora","26/11/1996",NA
"liverpool","26/11/1996",NA
"liverpool","27/11/1996",NA
"earlwood","27/11/1996",NA
"richmond","27/11/1996",4.3
"chullora","27/11/1996",NA
"earlwood","28/11/1996",NA
"richmond","28/11/1996",6.2
"chullora","28/11/1996",NA
"liverpool","28/11/1996",NA
"richmond","29/11/1996",2.5
"earlwood","29/11/1996",NA
"chullora","29/11/1996",NA
"liverpool","29/11/1996",NA
"earlwood","30/11/1996",NA
"liverpool","30/11/1996",NA
"richmond","30/11/1996",3.6
"chullora","30/11/1996",NA
"earlwood","01/12/1996",NA
"liverpool","01/12/1996",NA
"richmond","01/12/1996",2.9
"chullora","01/12/1996",NA
"earlwood","02/12/1996",NA
"chullora","02/12/1996",NA
"richmond","02/12/1996",7.4
"liverpool","02/12/1996",NA
"liverpool","03/12/1996",NA
"earlwood","03/12/1996",NA
"richmond","03/12/1996",6.2
"chullora","03/12/1996",NA
"richmond","04/12/1996",5
"chullora","04/12/1996",NA
"liverpool","04/12/1996",NA
"earlwood","04/12/1996",NA
"liverpool","05/12/1996",NA
"earlwood","05/12/1996",NA
"richmond","05/12/1996",5.6
"chullora","05/12/1996",NA
"earlwood","06/12/1996",9.2
"liverpool","06/12/1996",NA
